Element 1 ID	Element 2 ID	STRING escore	STRING tscore	STRING dscore
Q01201	Q99558	0	572	900
Q01201	Q99558	0	572	900
Q01201	Q99558			
Q01201	Q99558			
O60674	126565	922	900	0
P07948	3062316	795	573	700
P06213	Q13315	0	225	0
P06213	Q13315	0	225	0
A2A288	P15391	0	196	0
A2A288	P15391	0	196	0
P06239	P10747	384	836	900
P06239	P10747	384	836	900
P06239	P10747			
P06239	P10747			
Q9UHD2	Q86WV6	472	849	900
Q9UHD2	Q86WV6	472	849	900
Q9UHD2	Q86WV6			
Q9UHD2	Q86WV6			
Q9UHD2	Q86WV6			
Q9UHD2	Q86WV6			
Q9UHD2	Q86WV6			
Q9UHD2	Q86WV6			
Q9UHD2	Q86WV6			
Q9UHD2	Q86WV6			
Q14653	Q86WV6	336	762	900
Q14653	Q86WV6	336	762	900
Q14653	Q86WV6			
Q14653	Q86WV6			
Q14653	Q86WV6			
Q14653	Q86WV6			
Q86WV6	Q9UHD2	472	849	900
Q86WV6	Q9UHD2	472	849	900
Q86WV6	Q9UHD2			
Q86WV6	Q9UHD2			
Q86WV6	Q9UHD2			
Q86WV6	Q9UHD2			
Q86WV6	Q9UHD2			
Q86WV6	Q9UHD2			
Q86WV6	Q9UHD2			
Q86WV6	Q9UHD2			
GO:0045087	Q8N884	IEA		
Q02223	P28907	0	442	0
Q02223	P28907	0	442	0
P18621	P49589	0	67	0
P18621	P49589	0	67	0
Q9Y275	Q02223	909	874	900
Q9Y275	Q02223	909	874	900
Q9Y275	Q02223			
Q9Y275	O14836	379	950	900
Q9Y275	O14836	379	950	900
Q9Y275	O14836			
Q07108	Q9Y275	0	447	0
Q07108	Q9Y275	0	447	0
Q16568	P61769	0	186	0
Q16568	P61769	0	186	0
Q16552	GO:0006955	TAS		
P78358	P29017	0	293	0
P78358	P29017	0	293	0
GO:0043045	Q9Y6K1	IEA		
P13639	Q8N5D0	0	829	0
P13639	Q8N5D0	0	829	0
P50591	P48023	0	327	900
P50591	P48023	0	327	900
O75888	Q9Y275	379	228	0
